"ID","Day","Quantity"
"107284","19","11400"
"107909","19","14795"
"108613","19","23405"
"109056","19","5000"
"110488","19","16000"
"110670","19","16500"
"111823","19","10000"
"112003","19","21000"
"112121","19","16000"
"113376","19","11500"
"113740","19","15000"
"116207","19","500"
"117086","19","2000"
"2","22","5757"
"4","22","8273"
"14","22","9808"
"18","22","7396"
"33","22","6672"
"47","22","6233"
"544","22","426"
"572","22","965"
"600","22","4789"
"743","22","3668"
"863","22","6704"
"1061","22","6820"
"1389","22","5491"
"18211","22","5065"
"22022","22","33504"
"23043","22","5487"
"24089","22","5296"
"28171","22","6023"
"57357","22","26722"
"60691","22","5245"
"69486","22","21680"
"95660","22","22933"
"95841","22","13464"
"96011","22","13704"
"100761","22","14597"
"101016","22","31143"
"102904","22","9938"
"103294","22","28890"
"104994","22","14806"
"105192","22","13884"
"105225","22","28352"
"107284","22","11400"
"107909","22","14795"
"108613","22","23405"
"109056","22","5000"
"110488","22","16000"
"110670","22","16500"
"111823","22","10000"
"112003","22","21000"
"112121","22","16000"
"113376","22","11500"
"113740","22","15000"
"116207","22","500"
"117086","22","2000"
"2","23","5757"
"4","23","8273"
"14","23","9808"
"18","23","7396"
"33","23","6672"
"47","23","6233"
"544","23","426"
"572","23","965"
"600","23","4789"
"743","23","3668"
"863","23","6704"
"1061","23","6820"
"1389","23","5491"
"18211","23","5065"
"22022","23","33504"
"23043","23","5487"
"24089","23","5296"
"28171","23","6023"
"57357","23","26722"
"60691","23","5245"
"69486","23","21680"
"95660","23","22933"
"95841","23","13464"
"96011","23","13704"
"100761","23","14597"
"101016","23","31143"
"102904","23","9938"
"103294","23","28890"
"104994","23","14806"
"105192","23","13884"
"105225","23","28352"
"107284","23","11400"
"107909","23","14795"
"108613","23","23405"
"109056","23","5000"
"110488","23","16000"
"110670","23","16500"
"111823","23","10000"
"112003","23","21000"
"112121","23","16000"
"113376","23","11500"
"113740","23","15000"
"116207","23","500"
"117086","23","2000"
"2","24","5757"
"4","24","8273"
"14","24","9808"
"18","24","7396"
"33","24","6672"
"47","24","6233"
"544","24","426"
"572","24","965"
"600","24","4789"
"743","24","3668"
"863","24","6704"
"1061","24","6820"
"1389","24","5491"
"18211","24","5065"
"22022","24","33504"
"23043","24","5487"
"24089","24","5296"
"28171","24","6023"
"57357","24","26722"
"60691","24","5245"
"69486","24","21680"
"95660","24","22933"
"95841","24","13464"
"96011","24","13704"
"100761","24","14597"
"101016","24","31143"
"102904","24","9938"
"103294","24","28890"
"104994","24","14806"
"105192","24","13884"
"105225","24","28352"
"107284","24","11400"
"107909","24","14795"
"108613","24","23405"
"109056","24","5000"
"110488","24","16000"
"110670","24","16500"
"111823","24","10000"
"112003","24","21000"
"112121","24","16000"
"113376","24","11500"
"113740","24","15000"
"116207","24","500"
"117086","24","2000"
"2","25","5757"
"4","25","8273"
"14","25","9808"
"18","25","7396"
"33","25","6672"
"47","25","6233"
"544","25","426"
"572","25","965"
"600","25","4789"
"743","25","3668"
"863","25","6704"
"1061","25","6820"
"1389","25","5491"
"18211","25","5065"
"22022","25","33504"
"23043","25","5487"
"24089","25","5296"
"28171","25","6023"
"57357","25","26722"
"60691","25","5245"
"69486","25","21680"
"95660","25","22933"
"95841","25","13464"
"96011","25","13704"
"100761","25","14597"
"101016","25","31143"
"102904","25","9938"
"103294","25","28890"
"104994","25","14806"
"105192","25","13884"
"105225","25","28352"
"107284","25","11400"
"107909","25","14795"
"108613","25","23405"
"109056","25","5000"
"110488","25","16000"
"110670","25","16500"
"111823","25","10000"
"112003","25","21000"
"112121","25","16000"
"113376","25","11500"
"113740","25","15000"
"116207","25","500"
"117086","25","2000"
"117301","25","1500"
"2","26","5757"
"4","26","8273"
"14","26","9808"
"18","26","7396"
"33","26","6672"
"47","26","6233"
"544","26","426"
"572","26","965"
"600","26","4789"
"743","26","3668"
"863","26","6704"
"1061","26","6820"
"1389","26","5491"
"18211","26","5065"
"22022","26","33504"
"23043","26","5487"
"24089","26","5296"
"28171","26","6023"
"57357","26","26722"
"60691","26","5245"
"69486","26","21680"
"95660","26","22933"
"95841","26","13464"
"96011","26","13704"
